State,Agency,Code,Name,Latitude (º),Longitude (º),Altitude (m),Start year,End year,Years,K,a,b,c,K_r,a_r,b_r,c_r,NSE_all18,R2_all18,RMSE_all18
ES,ANA,1840020,São João da Cachoeira Grande,-18.5647,-40.3367,100.0,1981.0,1999.0,19.0,5829.147,0.192,33.421,1.089,1145.83,0.180083,9.522127,0.85088927,0.9058924633750582,0.9058924633750582,18.73694886949463
ES,ANA,1940006,Colatina - Corpo de Bombeiros,-19.5308,-40.6231,40.0,1976.0,1986.0,11.0,709.931,0.201,7.331,0.687,1577.8073,0.19098324,10.134363,0.8899162,0.9899900423373214,0.9899900423373214,5.9048211783859275
ES,ANA,1940009,Pancas,-19.2203,-40.8533,135.0,1976.0,1999.0,24.0,1227.888,0.185,20.628,0.758,1541.3627,0.18637256,11.628566,0.902714,0.9515109737366383,0.9515109737366383,12.194548657839881
ES,ANA,1940020,Caldeirão (Santa Teresa),-19.955,-40.7417,750.0,1976.0,1999.0,24.0,3777.338,0.196,46.751,0.947,1433.271,0.21029921,15.800071,0.8763598,0.9511806000316272,0.9511806000316272,12.308122678832515
ES,ANA,1941012,Alto Rio Novo,-19.0592,-41.0275,500.0,1976.0,1999.0,23.0,1908.138,0.208,18.432,0.926,1381.6178,0.18231972,11.626036,0.88268095,0.9826836029631458,0.9826836029631458,7.250789897959483
ES,ANA,2041017,Santa Cruz - Caparaó,-20.3228,-41.7042,920.0,1975.0,1999.0,24.0,3873.672,0.18,35.418,0.986,9050.557,0.14537774,86.57813,1.120423,0.6119089269452327,0.6119089269452327,34.62967348602487
ES,ANA,2041020,Aracê (Fazenda Modelo),-20.3667,-41.0611,1075.0,1976.0,1999.0,23.0,880.474,0.175,9.722,0.729,2833.9036,0.19141582,40.82505,0.9661655,0.860429703435041,0.860429703435041,20.371429915504113
MG,ANA,1950007,UHE São Simão,-19.0167,-50.4667,444.0,1973.0,1999.0,27.0,3354.992,0.172,30.197,0.96,2313.021,0.14460425,33.1263,0.98170835,0.5107979661745043,0.5107979661745043,39.96225442880329
GO,-,-,Catalão,-18.18333333,-47.95,832.0,,,23.0,1317.3,0.16,12.0,0.82,1165.2852,0.15004297,6.0758314,0.88258266,0.9160084830908433,0.9160084830908433,15.723567659711081
GO,-,-,Formosa,-15.533333,-47.33333333,912.0,,,20.0,1276.25,0.16,10.0,0.82,1340.6383,0.14558117,12.717092,0.88950366,0.8315606458278809,0.8315606458278809,22.913030333016334
GO,-,-,Goiânia,-16.68333333,-49.26666667,730.0,,,17.0,2209.74,0.21,21.0,0.88,3049.1267,0.1679131,52.466106,1.0022997,0.26718352357050956,0.26718352357050956,60.7340841379336
MA,-,-,Barra do Corda,-5.5,-45.26666667,153.0,,,21.0,1530.67,0.2,17.0,0.83,899.93585,0.16886157,0.27640793,0.82451075,0.9258992114191599,0.9258992114191599,16.852067573476802
MA,-,-,Turiaçu,-1.71666667,-45.4,44.0,,,33.0,1185.74,0.19,13.0,0.79,1032.5795,0.13248849,8.186617,0.82666904,0.8016506311982587,0.8016506311982587,26.038268987094302
MG,INMET,83587,Raja Gabaglia,-19.93,-43.95,916.0,1984.0,2015.0,31.0,2481.99,0.1245,20.0,0.8975,4963.415,0.20145331,54.194374,0.9986795,0.958440958191792,0.958440958191792,11.449648395915773
MG,ANA,1442025,Espinosa,-14.9333,-42.8167,570.0,1983.0,1999.0,17.0,679.357,0.188,8.715,0.731,551.00757,0.18069668,0.030235985,0.7855065,0.9382485365792639,0.9382485365792639,11.22786554092332
MG,ANA,1443000,Boca da Caatinga,-14.7864,-43.5514,425.0,1978.0,1999.0,20.0,1616.744,0.179,20.467,0.877,518.2997,0.18308727,1.016899,0.78206927,0.8525601797780095,0.8525601797780095,18.14368511434252
MG,ANA,1443001,Manga,-14.7567,-43.9322,452.0,1976.0,1999.0,24.0,1828.318,0.188,28.731,0.899,1198.9664,0.18770218,21.899471,0.8797776,0.9034204787390289,0.9034204787390289,13.287187023261096
MG,ANA,1444000,São Gonçalo,-14.3136,-44.4603,475.0,1976.0,1999.0,23.0,765.111,0.155,11.514,0.698,3777.0664,0.21391241,39.599472,1.0045681,0.9533582757996928,0.9533582757996928,9.981769574987798
