Latitude (º),Longitude (º),Altitude (m),Start year,End year,Years,K,a,b,c,K_r,a_r,b_r,c_r,NSE_all,R2_all,RMSE_all
-19.3053,-57.5933,97.0,,,30.0,5994.5,0.243,32.79,1.06,1430.8383,0.17711198,5.4927454,0.82743454,0.830804096798925,0.830804096798925,42.11919416900428
-19.6008,-57.4381,83.0,,,34.0,6132.64,0.223,32.41,1.05,2113.1865,0.17497501,22.118011,0.8607226,0.8134200996786365,0.8134200996786365,43.59720739074692
-20.8,-51.6333,260.0,,,34.0,5618.3,0.203,32.93,1.06,1554.3018,0.15724218,6.0041,0.8017907,0.31170760464824654,0.31170760464824654,67.19618459726121
-20.3636,-51.4239,348.0,,,30.0,5294.07,0.143,32.7,1.06,2324.7747,0.14964418,2.3750024,0.8789557,-11.958007039303476,-11.958007039303476,218.34883867157868
-20.0683,-51.1036,375.0,,,30.0,5921.58,0.173,33.07,1.06,2222.1191,0.15493524,2.8131833,0.8616735,-5.056779729373881,-5.056779729373881,185.58065709248623
-20.4453,-52.9019,292.0,,,37.0,6324.52,0.193,32.48,1.05,1219.7677,0.15482299,10.177765,0.7984861,0.830116905444884,0.830116905444884,37.87329437490559
-20.1019,-52.9258,376.0,,,30.0,5496.57,0.193,32.85,1.06,1158.2064,0.13968366,8.461627,0.79800993,0.924034440565344,0.924034440565344,21.018649492463247
-20.6028,-52.2183,391.0,,,30.0,5325.19,0.193,32.61,1.05,1150.7217,0.15682511,7.610355,0.79810023,0.9264797167565972,0.9264797167565972,20.90399249698877
-20.4447,-53.7581,373.0,,,40.0,5962.36,0.233,32.59,1.05,1449.8077,0.14947087,13.761631,0.81805354,0.7066826574050498,0.7066826574050498,55.138109520655355
-20.6769,-53.5714,345.0,,,30.0,5475.24,0.173,32.57,1.05,1453.6707,0.1498054,15.119508,0.8190058,0.9569009576844755,0.9569009576844755,15.211263146532263
-20.4931,-54.8114,518.0,,,34.0,6581.91,0.173,32.66,1.05,2150.19,0.1723637,20.13965,0.85411406,0.975032986408406,0.975032986408406,13.883323841859804
-20.4517,-54.6275,562.0,1991.0,2020.0,30.0,1009.6,0.1834,15.3,0.7796,2139.109,0.18290518,19.188408,0.8490513,0.22484557334036304,0.22484557334036304,51.956553227577885
-20.1022,-54.4347,577.0,,,30.0,5249.12,0.213,32.51,1.05,1543.429,0.15593164,9.2125025,0.81115943,0.8694180247402632,0.8694180247402632,29.873433563891638
-20.1278,-55.3933,171.0,,,35.0,6686.77,0.213,32.63,1.06,2312.0967,0.22935218,20.781464,0.86031306,0.9954126118053254,0.9954126118053254,6.857579874163243
-20.4489,-55.4308,175.0,,,33.0,6515.63,0.223,32.48,1.05,2403.8962,0.20614316,20.781038,0.86030984,0.9855103033472726,0.9855103033472726,12.883700192681774
-20.0703,-55.6453,146.0,,,34.0,7107.71,0.213,32.37,1.05,2349.6406,0.23281027,20.781208,0.86031115,0.9894433911876414,0.9894433911876414,11.54522563573598
