Code,Name,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
01051001,PORTO ALEGRE DO NORTE,26,PORTO ALEGRE DO NOR,MATO GROSSO,ANA,-10.8672,-51.6306,1983-12-09,2019-08-31,37,3.6,29,21.6
01052000,VILA SÃO JOSÉ DO XINGU,18,SÃO JOSÉ DO XINGU,MATO GROSSO,ANA,-10.8072,-52.7461,1976-06-17,2019-08-31,44,10.4,25,43.2
01052001,RIO COMANDANTE FONTOURA,18,PORTO ALEGRE DO NOR,MATO GROSSO,ANA,-10.5547,-52.1833,1999-10-29,2019-08-30,21,1.7,13,38.1
01053001,FAZENDA SANTA EMÍLIA,18,MARCELÂNDIA,MATO GROSSO,ANA,-10.5392,-53.6089,1976-06-18,2018-09-30,43,25.5,16,62.8
01054000,AGROPECUÁRIA CAJABI,17,MARCELÂNDIA,MATO GROSSO,ANA,-10.7461,-54.5461,1976-08-01,2019-09-30,44,10.7,26,40.9
01055000,ESTRADA CUIABÁ - SANTARÉM,17,PEIXOTO DE AZEVEDO,MATO GROSSO,ANA,-10.2203,-54.9711,1976-04-23,2019-09-30,44,56.8,10,77.3
01055001,INDECO,17,CARLINDA,MATO GROSSO,ANA,-10.1125,-55.57,1975-10-28,2019-09-30,45,8.0,29,35.6
01055002,COLIDER,17,COLÍDER,MATO GROSSO,ANA,-10.7986,-55.4486,1982-03-21,2019-09-30,38,6.6,20,47.4
01055003,FAZENDA TRATEX,17,COLÍDER,MATO GROSSO,ANA,-10.9542,-55.5486,1994-08-01,2019-04-23,26,3.5,15,42.3
01057001,TRIVELATO,17,NOVA MONTE VERDE,MATO GROSSO,ANA,-9.9417,-57.1331,1982-06-01,2019-08-31,38,9.8,20,47.4
01058002,NÚCLEO ARIEL,17,COTRIGUAÇU,MATO GROSSO,ANA,-9.8564,-58.2489,1982-03-26,2019-08-31,38,16.1,18,52.6
01058003,JURUENA,17,JURUENA,MATO GROSSO,ANA,-10.3125,-58.5017,1984-09-16,2019-08-31,36,6.7,20,44.4
01058004,NOVO TANGARA,17,CASTANHEIRA,MATO GROSSO,ANA,-10.8342,-58.8033,1984-09-10,2019-08-31,36,17.6,18,50.0
01058005,VALE DO NATAL,15,ARIPUANÃ,MATO GROSSO,ANA,-10.5886,-58.8678,1985-03-19,2019-08-31,35,14.1,18,48.6
01059000,HUMBOLDT,15,ARIPUANÃ,MATO GROSSO,ANA,-10.1753,-59.4517,1978-06-21,2019-10-31,42,4.9,21,50.0
01060001,FAZENDA MUIRAQUITA,15,ARIPUANÃ,MATO GROSSO,ANA,-10.4344,-60.5572,1999-12-01,2019-08-31,21,3.1,14,33.3
01061002,FAZENDA CASTANHAL,15,RONDOLÂNDIA,MATO GROSSO,ANA,-10.3969,-61.0453,1982-03-23,2019-08-31,38,29.7,15,60.5
01061003,RONDOMINAS (BARROCAS),15,OURO PRETO DO OESTE,RONDÔNIA,ANA,-10.5169,-62.0014,1987-04-25,2019-08-31,33,9.9,19,42.4
01062001,JARU,15,JARU,RONDÔNIA,ANA,-10.4458,-62.4656,1977-01-01,2019-10-31,43,6.6,31,27.9
01062002,SERINGAL 70,15,JARU,RONDÔNIA,ANA,-10.2364,-62.6272,1978-10-28,2019-08-31,42,5.1,25,40.5
01062003,MIRANTE DA SERRA,15,MIRANTE DA SERRA,RONDÔNIA,ANA,-11.0036,-62.6561,1983-08-18,2019-08-31,37,5.4,25,32.4
01062004,THEOBROMA,15,THEOBROMA,RONDÔNIA,ANA,-10.2364,-62.3458,1987-01-01,2019-08-31,33,11.3,18,45.5
01063000,ESCOLA CARAMURÚ,15,ARIQUEMES,RONDÔNIA,ANA,-10.505,-63.6461,1978-11-01,2019-08-31,42,10.8,28,33.3
01063001,MINERAÇÃO PONTE MASSANGANA,15,ARIQUEMES,RONDÔNIA,ANA,-9.7608,-63.2875,1980-07-25,2019-08-31,40,11.6,21,47.5
01065002,GUAJARÁ-MIRIM,15,GUAJARÁ-MIRIM,RONDÔNIA,ANA,-10.7925,-65.3478,1972-08-15,2019-10-31,48,4.8,36,25.0
01065006,GUAYARAMERIN (AASANA),15,BOLÍVIA,BOLÍVIA,BOLÍVIA,-10.8167,-65.3486,1975-01-01,2019-11-30,45,36.1,15,66.7
01067002,PLÁCIDO DE CASTRO,15,PLÁCIDO DE CASTRO,ACRE,ANA,-10.3242,-67.1886,1993-05-19,2019-10-31,27,12.2,13,51.9
01067003,VILA CAPIXABA,15,CAPIXABA,ACRE,ANA,-10.5758,-67.6767,1992-08-11,2019-10-31,28,7.1,14,50.0
01068000,XAPURI,13,XAPURI,ACRE,ANA,-10.6497,-68.5067,1977-12-18,2019-07-31,43,6.0,25,41.9
01069000,ASSIS BRASIL,13,ASSIS BRASIL,ACRE,ANA,-10.9436,-69.5656,1980-06-15,2019-09-30,40,9.7,23,42.5
01137001,SALGADO,50,SALGADO,SERGIPE,ANA,-11.0303,-37.4783,1941-01-15,2019-11-30,79,5.7,52,34.2
01137017,ESTÂNCIA,50,ESTÂNCIA,SERGIPE,ANA,-11.2667,-37.4431,1944-10-24,2019-11-30,76,4.5,46,39.5
01137027,ITANHY,50,JANDAÍRA,BAHIA,ANA,-11.5419,-37.5661,1965-11-09,2019-11-30,55,3.8,34,38.2
01137042,FAZENDA TRIANON,50,ACAJUTIBA,BAHIA,ANA,-11.655,-37.9369,1989-08-13,2019-11-30,31,1.4,25,19.4
01137043,USINA ALTAMIRA,50,CONDE,BAHIA,ANA,-11.7683,-37.8036,1992-09-27,2019-11-30,28,0.9,22,21.4
01138002,INHAMBUPE,50,INHAMBUPE,BAHIA,ANA,-11.7828,-38.3481,1948-09-24,2019-11-30,72,7.8,39,45.8
01138014,CIPÓ,50,CIPÓ,BAHIA,ANA,-11.0981,-38.5131,1944-11-01,2019-11-30,76,4.0,43,43.4
01138026,PONTE EUCLIDES DA CUNHA,50,TUCANO,BAHIA,ANA,-11.0631,-38.8353,1983-03-01,2019-11-30,37,4.9,21,43.2
01139022,GAVIÃO II,51,GAVIÃO,BAHIA,ANA,-11.4742,-39.7847,1983-02-02,2019-11-30,37,2.5,23,37.8
01140000,MIGUEL CALMON (DJALMA DUTRA),50,MIGUEL CALMON,BAHIA,ANA,-11.4325,-40.6044,1966-01-01,2019-08-31,54,2.3,35,35.2
01140010,FRANÇA,51,PIRITIBA,BAHIA,ANA,-11.5533,-40.6,1965-03-01,2019-11-30,55,4.4,34,38.2
01140031,BARRA DO MUNDO NOVO,51,MUNDO NOVO,BAHIA,ANA,-11.8656,-40.5178,1984-06-07,2019-08-31,36,2.1,26,27.8
01140032,AÇUDE SERROTE,50,SERROLÂNDIA,BAHIA,ANA,-11.4106,-40.3036,1984-01-01,2019-10-31,36,4.3,25,30.6
01140033,AÇUDE RIO DO PEIXE,50,CAPIM GROSSO,BAHIA,ANA,-11.2303,-39.9658,1984-07-01,2019-11-30,36,3.9,20,44.4
01141014,IRECÊ,47,IRECÊ,BAHIA,INMET,-11.3,-41.8667,1973-01-01,2015-07-31,43,18.0,29,32.6
01142017,FAZENDA CABACEIRAS,47,IBIPEBA,BAHIA,ANA,-11.3286,-42.305,1972-05-14,2019-11-30,48,2.4,41,14.6
01142020,FAZENDA REFRIGÉRIO - JUSANTE,47,IBIPEBA,BAHIA,ANA,-11.3561,-42.2736,1977-07-01,2019-10-31,43,1.4,33,23.3
01143002,MORPARÁ,46,MORPARÁ,BAHIA,ANA,-11.5633,-43.2753,1945-11-01,2019-11-30,75,4.8,68,9.3
01143005,BARRA,46,BARRA,BAHIA,INMET,-11.0847,-43.1386,1977-01-01,2015-04-30,39,21.7,25,35.9
01143010,BOQUEIRÃO,46,MANSIDÃO,BAHIA,ANA,-11.3553,-43.8456,1937-01-01,2019-11-30,83,0.4,75,9.6
