,Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Latitude,Longitude,P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm)
-4.220800,-46.165300,86.60,83.50,67.40,65.10,131.20,74.80,87.30,91.00,,,,,,,,,,,,,,,,,,
-2.950300,-48.966900,90.30,78.00,142.10,80.20,91.50,99.50,62.00,75.70,34.60,130.80,81.50,,,,,,,,,,,,,,,
-3.833600,-49.085800,62.20,79.60,140.50,90.60,140.50,110.30,123.20,112.50,101.50,111.00,120.00,,,,,,,,,,,,,,,
-3.015800,-49.796700,90.80,94.20,38.60,62.70,45.20,50.40,46.40,50.40,36.40,32.70,32.60,40.70,,,,,,,,,,,,,,
-3.116700,-59.950000,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.897800,-61.374700,100.40,100.30,,,,,,,,,113.00,41.40,,,,,,,,,,,,,,
-4.497500,-38.360600,44.20,101.20,74.50,43.70,52.60,55.00,77.30,73.10,73.90,126.40,60.60,57.30,,,,,,,,,,,,,,
-4.416400,-40.904200,91.00,56.00,103.00,36.00,44.20,55.00,67.20,50.00,32.00,76.20,51.00,62.00,,,,,,,,,,,,,,
-4.367800,-40.535600,48.00,109.80,84.60,54.20,45.20,47.20,94.20,136.20,89.70,105.60,144.30,58.70,,,,,,,,,,,,,,
-4.096900,-40.126400,83.30,55.60,70.40,33.40,28.70,54.20,38.60,61.70,124.80,72.50,64.20,34.20,,,,,,,,,,,,,,
-4.618600,-41.125000,,,,45.30,55.70,68.40,72.50,39.80,,,,,,,,,,,,,,,,,,
-4.102500,-42.535300,92.00,82.00,120.80,98.90,79.90,122.90,93.10,123.30,,,,,,,,,,,,,,,,,,
-4.152800,-42.946100,67.60,91.20,157.00,94.80,82.50,105.30,69.10,77.10,,,,,,,,,,,,,,,,,,
-4.454200,-43.877200,102.30,118.20,110.20,75.40,107.20,131.20,76.30,84.00,,,,,,,,,,,,,,,,,,
-4.464400,-43.931100,90.50,65.20,93.00,63.50,98.00,89.00,68.00,76.00,,,,,,,,,,,,,,,,,,
-4.420600,-43.649200,115.60,100.30,153.00,97.20,115.20,94.80,113.50,98.30,,,,,,,,,,,,,,,,,,
-4.624200,-43.465800,118.00,90.30,60.00,91.00,82.50,72.80,60.20,74.70,,,,,,,,,,,,,,,,,,
-4.162800,-44.165800,85.60,113.80,97.80,119.50,86.90,109.20,78.90,78.60,,,,,,,,,,,,,,,,,,
-4.576700,-44.599400,76.60,81.50,69.00,92.50,83.00,60.00,91.60,53.60,,,,,,,,,,,,,,,,,,
-5.101400,-44.960800,71.70,110.80,38.70,95.70,110.20,118.40,85.80,86.20,,,,,,,,,,,,,,,,,,
-4.372200,-44.334200,70.20,86.40,80.20,91.10,90.80,76.50,90.00,94.40,,,,,,,,,,,,,,,,,,
-4.030300,-45.771100,83.00,137.00,104.50,135.00,110.00,125.40,93.00,134.60,,,,,,,,,,,,,,,,,,
-4.742800,-45.180600,100.00,87.00,82.40,78.80,102.50,84.60,134.70,72.90,,,,,,,,,,,,,,,,,,
-4.861100,-46.007800,86.80,66.20,80.60,90.30,87.20,78.10,81.40,155.60,,,,,,,,,,,,,,,,,,
-4.560600,-45.125600,77.10,112.50,73.40,98.30,82.80,75.70,58.50,85.90,,,,,,,,,,,,,,,,,,
-4.240600,-45.358100,83.10,107.10,148.50,106.70,93.50,68.50,80.00,52.80,,,,,,,,,,,,,,,,,,
-4.298900,-46.493600,83.40,104.50,53.00,65.20,76.90,99.10,94.30,94.40,,,,,,,,,,,,,,,,,,
-4.409400,-46.749200,55.60,62.80,43.90,78.20,61.20,148.80,52.80,58.50,,,,,,,,,,,,,,,,,,
-4.286700,-47.559200,142.20,96.80,116.80,87.50,67.90,149.10,64.30,88.60,76.40,156.50,101.00,85.40,,,,,,,,,,,,,,
-4.829700,-47.269200,84.60,87.60,,,,73.10,81.60,53.30,97.00,97.60,111.20,146.30,,,,,,,,,,,,,,
-4.930800,-47.496700,104.30,164.50,132.00,89.70,92.20,93.40,93.30,73.90,89.90,76.40,135.10,144.00,,,,,,,,,,,,,,
-4.462800,-49.119700,107.20,131.60,129.20,77.60,84.50,122.40,138.70,134.40,97.00,122.90,111.70,,,,,,,,,,,,,,,
-4.240000,-49.954200,,,,,39.40,26.50,93.60,95.60,70.70,95.20,131.60,87.80,,,,,,,,,,,,,,
-4.134400,-70.548900,61.20,98.20,62.80,,68.40,65.60,50.60,55.30,85.80,65.80,65.80,75.40,,,,,,,,,,,,,,
-5.845800,-35.523300,38.00,40.00,205.70,98.00,93.00,130.00,45.00,115.00,51.20,52.70,54.50,43.20,,,,,,,,,,,,,,
-5.631900,-36.916100,72.00,49.00,56.00,39.00,103.50,62.00,62.00,64.50,64.20,70.90,80.80,82.60,,,,,,,,,,,,,,
-5.257200,-36.723300,55.80,115.00,61.00,34.50,77.10,54.20,50.00,72.50,61.60,59.70,31.00,76.50,,,,,,,,,,,,,,
-5.643600,-37.255300,94.80,103.50,67.30,32.40,68.30,64.80,54.60,85.20,76.20,78.80,73.70,68.70,,,,,,,,,,,,,,
-5.867200,-37.314700,68.60,59.00,78.00,66.50,37.80,145.50,44.30,68.00,70.10,85.00,108.80,110.00,,,,,,,,,,,,,,
-5.450000,-37.515000,93.00,120.00,114.00,40.00,45.00,79.00,98.20,64.90,59.50,128.00,59.20,110.90,,,,,,,,,,,,,,
-5.219400,-37.362200,57.00,75.50,103.20,33.00,67.80,57.80,31.50,137.60,47.60,108.20,42.40,45.90,,,,,,,,,,,,,,
-5.466900,-38.407500,94.10,92.00,74.50,31.50,66.50,56.20,51.00,68.00,48.50,142.00,62.50,68.50,,,,,,,,,,,,,,
-5.902200,-38.631400,67.50,85.50,51.70,42.30,68.80,80.90,56.90,43.70,81.40,135.70,35.50,82.70,,,,,,,,,,,,,,
-5.224700,-38.200600,182.80,92.10,89.90,65.00,55.10,82.20,71.10,97.10,43.30,104.30,68.90,96.50,,,,,,,,,,,,,,
-5.580000,-39.368100,58.00,77.00,120.00,45.00,50.00,60.00,96.00,76.00,65.00,100.00,58.00,67.00,,,,,,,,,,,,,,
-5.201400,-39.291700,47.20,69.80,61.80,31.30,66.80,61.30,66.50,86.60,98.50,88.30,41.00,62.20,,,,,,,,,,,,,,
-5.224700,-41.736900,50.80,98.40,74.10,98.20,83.40,86.70,99.70,77.40,,,,,,,,,,,,,,,,,,
-5.667500,-42.206100,94.80,76.60,137.70,58.50,80.50,63.50,48.60,108.30,,,,,,,,,,,,,,,,,,
-5.087800,-42.799200,,,,78.80,124.00,75.50,144.80,105.70,,,,,,,,,,,,,,,,,,
-5.484400,-43.358600,61.00,63.10,86.00,53.50,80.00,84.00,83.40,63.50,,,,,,,,,,,,,,,,,,
-5.709200,-43.587200,80.70,121.30,97.20,129.40,111.70,68.50,81.70,65.30,,,,,,,,,,,,,,,,,,
-5.572800,-43.024200,80.30,94.30,150.20,77.30,89.60,100.50,62.90,105.50,,,,,,,,,,,,,,,,,,
-5.975600,-43.061700,103.00,66.80,127.00,79.30,111.00,80.00,69.00,61.30,,,,,,,,,,,,,,,,,,
-5.970000,-43.415800,83.20,135.70,147.30,65.40,167.30,88.70,132.50,88.10,,,,,,,,,,,,,,,,,,
-5.419700,-44.928300,89.40,113.50,86.50,60.30,68.30,73.70,76.30,75.30,,,,,,,,,,,,,,,,,,
-5.405000,-44.335600,75.80,92.10,82.90,68.00,81.30,92.70,75.40,66.90,,,,,,,,,,,,,,,,,,
-5.727500,-45.313100,,,75.00,82.20,117.90,101.90,63.90,105.20,,,,,,,,,,,,,,,,,,
-5.604400,-46.238600,121.50,62.60,75.60,78.60,53.60,124.60,101.90,78.30,,,,,,,,,,,,,,,,,,
-5.884200,-46.701900,137.40,100.20,100.20,141.80,81.80,57.40,112.00,86.40,,,,,,,,,,,,,,,,,,
-5.594400,-47.019200,107.40,158.20,96.20,61.00,91.20,82.50,65.20,64.80,,,,,,,,,,,,,,,,,,
-5.648300,-48.125000,117.50,81.80,131.70,100.70,97.90,70.70,66.50,116.00,85.80,100.40,111.00,82.10,,,,,,,,,,,,,,
-5.259700,-48.206900,115.50,101.30,94.20,110.80,107.50,106.20,105.20,73.40,93.20,97.00,75.00,86.30,,,,,,,,,,,,,,
-6.085300,-35.248600,110.00,48.00,158.00,112.50,117.00,90.80,51.20,150.00,70.70,78.00,64.50,96.80,,,,,,,,,,,,,,
-6.328600,-35.695800,,,,10.00,49.00,130.60,25.00,42.70,47.90,157.50,31.40,31.50,,,,,,,,,,,,,,
-6.598300,-35.529200,,,,36.70,46.40,80.10,61.90,49.90,98.70,80.90,52.30,23.00,,,,,,,,,,,,,,
-6.242800,-35.994700,26.40,31.40,70.10,26.10,29.20,50.20,51.00,41.00,48.10,64.30,47.70,17.20,,,,,,,,,,,,,,
-6.593600,-36.785000,57.00,44.10,90.70,70.50,55.70,94.60,39.20,75.30,58.80,115.50,42.70,60.00,,,,,,,,,,,,,,
-6.462200,-37.302500,85.20,75.00,73.00,88.00,48.30,80.20,41.60,69.50,68.70,71.60,87.90,85.50,,,,,,,,,,,,,,
-6.451100,-37.090600,97.00,65.00,66.80,48.00,40.70,78.30,41.00,61.00,54.80,81.20,66.10,46.00,,,,,,,,,,,,,,
-6.762800,-38.960600,87.60,69.50,76.90,70.30,77.40,51.30,27.80,71.40,57.80,92.90,37.50,120.30,,,,,,,,,,,,,,
