,Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Latitude,Longitude,P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm)
-18.5178,-52.0928,88,130.3,58.7,87.1,80,,,,123.6,82,81.3,128.7,,,,,,,,,,,,,,
-18.3044,-51.9622,84.6,95,83.3,60,65.9,,,,70.1,68.2,90.7,148,,,,,,,,,,,,,,
-18.6797,-53.6378,105.6,65.3,107.4,110.8,62.5,69.2,82.5,49.2,115.2,65.9,96.3,95.2,,,,,,,,,,,,,,
-18.7303,-54.5786,106.7,57.5,86.8,89.3,82.3,80.9,81.5,66.3,58.3,89.1,84.9,81.2,,,,,,,,,,,,,,
-19.5775,-39.7944,17.4,98.7,76.8,40.5,72.4,70.3,85.4,76.3,,70.4,87.4,,,,,,,,,,,,,,,
-19.8744,-40.8744,102.2,71,94,38.8,69.8,150.1,95.2,62.8,,99.3,99.5,,,,,,,,,,,,,,,
-19.8053,-40.6789,65.4,81.2,124.4,67.2,99.3,143.6,77.9,73.2,,105.5,94,,,,,,,,,,,,,,,
-19.6922,-40.3981,185.4,109.4,86.5,67.3,94.2,87.8,84.6,61.7,,84.2,197.4,,,,,,,,,,,,,,,
-19.5308,-40.6231,88.2,92,106.4,69,63.2,90.2,88.9,60.3,,62.1,92.7,,,,,,,,,,,,,,,
-19.9369,-40.4014,125,59,148,60,90.8,206.2,125.2,88.5,,,,,,,,,,,,,,,,,,
-19.2203,-40.8533,51.7,50.1,61.3,66,79.3,88.9,79.8,79.5,,134.5,64.5,,,,,,,,,,,,,,,
-19.9533,-40.5525,78.4,75.6,132.6,73.2,70.2,147.7,91.2,52.5,,,,,,,,,,,,,,,,,,
-19.6636,-40.8353,103.3,60,120,71.3,76.4,119,91.7,76.6,,119.9,139.5,,,,,,,,,,,,,,,
-19.2375,-40.5914,96,61.3,78.5,84.7,79.8,95.4,101.4,56.7,,117.3,103.5,,,,,,,,,,,,,,,
-19.0578,-40.5164,170.6,73,75.6,112,98,100.3,96.7,72.4,,111.4,78.7,,,,,,,,,,,,,,,
-19.955,-40.7417,77,99.4,59.3,68.9,98.3,158.1,138.8,61,,88.5,145.6,,,,,,,,,,,,,,,
-19.5886,-40.1981,77,81.2,51,45.2,62,68.2,115.6,37.1,,,,,,,,,,,,,,,,,,
-19.2742,-40.3208,80.2,69,60,33,102,96,91.2,45,,150,76.2,,,,,,,,,,,,,,,
-19.7989,-41.7061,60.2,79.8,90.2,84.2,109.6,111.2,74.5,71.5,,121.3,93.7,,,,,,,,,,,,,,,
-19.5253,-41.0153,71,75.8,66.3,43.5,55.6,38.5,42,117.8,,86.5,65.2,,,,,,,,,,,,,,,
-19.3431,-41.2461,67.8,65.4,114.4,57.9,116.7,74,92,54.5,,107,68.3,,,,,,,,,,,,,,,
-19.0617,-41.5328,91.2,116.8,90,92.8,107.4,79.8,101.2,53.4,,130.2,95.3,,,,,,,,,,,,,,,
-19.5947,-41.4581,61.2,77.3,125,71.6,85,67.6,85,66.8,,145,79.8,,,,,,,,,,,,,,,
-19.9011,-41.0581,72.6,67.5,104.7,80.2,113.3,81.4,55.8,81.2,,109.8,76.5,,,,,,,,,,,,,,,
-19.6911,-41.02,76.4,104.1,67.4,50.1,60.2,95,63.6,64.5,,93.8,76.8,,,,,,,,,,,,,,,
-19.4925,-41.1617,65.6,133.6,126.2,90.4,85,53.5,73.3,77.8,,87.4,64,,,,,,,,,,,,,,,
