Code,Name,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
02854006,PASSO VIOLA,75,GUARANI DAS MISSÕES,RIO GRANDE DO SUL,ANA,-28.2111,-54.6031,1959-08-25,2019-10-31,61,4.8,48,21.3
02854012,COIMBRA,75,SÃO MIGUEL DAS MISS,RIO GRANDE DO SUL,ANA,-28.7878,-54.4525,1976-09-24,2019-10-31,44,1.8,33,25.0
02855001,GARRUCHOS,75,GARRUCHOS,RIO GRANDE DO SUL,ANA,-28.1878,-55.6369,1949-03-24,2019-10-31,71,3.2,57,19.7
02855002,PASSO DO SARMENTO,75,SANTO ANTÔNIO DAS M,RIO GRANDE DO SUL,ANA,-28.2089,-55.3233,1957-10-21,2019-10-31,63,3.0,51,19.0
02950008,CAMISAS,86,CAMBARÁ DO SUL,RIO GRANDE DO SUL,ANA,-29.1083,-50.1875,1946-02-19,2019-10-31,74,4.6,65,12.2
02950019,LAJEADO GRANDE,86,SÃO FRANCISCO DE PA,RIO GRANDE DO SUL,ANA,-29.0994,-50.6308,1941-04-22,2019-10-31,79,4.1,72,8.9
02950028,ROLANTE,87,ROLANTE,RIO GRANDE DO SUL,ANA,-29.6508,-50.5728,1961-01-01,2019-07-31,59,7.6,53,10.2
02950033,SECA,86,CAXIAS DO SUL,RIO GRANDE DO SUL,ANA,-29.0719,-50.9739,1944-08-31,2019-10-31,76,4.3,70,7.9
02950034,SERRA DO PINTO,87,ITATI,RIO GRANDE DO SUL,ANA,-29.3758,-50.1803,1960-10-01,2019-10-31,60,5.7,52,13.3
02951017,JANSEN,86,FARROUPILHA,RIO GRANDE DO SUL,ANA,-29.3908,-51.8489,1962-11-01,2019-10-31,58,5.7,52,10.3
02951022,NOVA PALMIRA,87,CAXIAS DO SUL,RIO GRANDE DO SUL,ANA,-29.335,-51.1903,1943-04-28,2019-10-31,77,1.4,62,19.5
02951028,SAPUCAIA DO SUL,87,SAPUCAIA DO SUL,RIO GRANDE DO SUL,ANA,-29.82,-51.1611,1964-09-01,2019-10-31,56,2.8,44,21.4
02953008,DONA FRANCISCA,85,DONA FRANCISCA,RIO GRANDE DO SUL,ANA,-29.6244,-53.3519,1943-05-01,2019-10-31,77,3.2,66,14.3
02954001,CACEQUI,76,CACEQUI,RIO GRANDE DO SUL,ANA,-29.8786,-54.8253,1943-04-09,2019-10-31,77,1.2,69,10.4
02954004,ERNESTO ALVES,76,SANTIAGO,RIO GRANDE DO SUL,ANA,-29.3661,-54.7356,1959-07-17,2019-10-31,61,1.5,56,8.2
02954005,FURNAS DO SEGREDO,76,JAGUARI,RIO GRANDE DO SUL,ANA,-29.3589,-54.5019,1966-08-08,2019-10-31,54,1.7,46,14.8
02954007,JAGUARI,76,JAGUARI,RIO GRANDE DO SUL,ANA,-29.5069,-54.6775,1957-10-01,2019-08-31,63,1.8,50,20.6
02954030,FLORIDA,76,SANTIAGO,RIO GRANDE DO SUL,ANA,-29.2517,-54.5983,1983-01-21,2019-10-31,37,2.5,28,24.3
02955002,CACHOEIRA SANTA CECÍLIA,76,ITAQUI,RIO GRANDE DO SUL,ANA,-29.1961,-55.4753,1959-06-12,2019-10-31,61,4.7,50,18.0
02955008,MANOEL VIANA,76,MANOEL VIANA,RIO GRANDE DO SUL,ANA,-29.5939,-55.4858,1976-07-25,2019-10-31,44,1.6,33,25.0
02956006,PASSO MARIANO PINTO,76,ITAQUI,RIO GRANDE DO SUL,ANA,-29.3089,-56.0553,1969-10-17,2019-10-31,51,2.9,39,23.5
03051004,CERRO GRANDE,87,CERRO GRANDE DO SUL,RIO GRANDE DO SUL,ANA,-30.5939,-51.7567,1976-09-01,2019-10-31,44,2.7,33,25.0
03051011,PORTO ALEGRE,87,PORTO ALEGRE,RIO GRANDE DO SUL,INMET,-30.0536,-51.1733,1961-01-01,2019-06-30,59,2.1,52,11.9
03051016,CAMAQUÃ,87,CAMAQUÃ,RIO GRANDE DO SUL,ANA,-30.8658,-51.7958,1976-09-01,2019-10-31,44,6.9,35,20.5
