station_id,time_step_min,n_obs,nan_frac,years_span_yr,first_date,last_date,had_zero_year,daily_mean_mm,daily_max_mm,max_24h_mm,coeffs_nonan
64270080,60,74187,0,9.8512175700619,24-Feb-2015 19:00:00,31-Dec-2024 21:00:00,0,9.78493292053663,135.1,143.4,6
64241300,60,80469,0,10.4435181192404,23-Jul-2014 13:00:00,31-Dec-2024 23:00:00,0,6.04006042296073,166.2,178.2,6
64241200,60,79030,0,9.55586585168301,12-Jun-2015 15:00:00,31-Dec-2024 20:00:00,0,6.91235632183909,111,113.4,6
64240000,15,340653,0,10.9010337880541,05-Feb-2014 23:45:00,31-Dec-2024 12:15:00,0,3.30290068829892,28.45,30.15,8
64230600,60,63526,0,10.335484871923,01-Sep-2014,31-Dec-2024 23:00:00,0,7.40722120658136,126.8,126.8,6
64230450,60,58116,0,10.8381626970818,01-Mar-2014 09:37:00,31-Dec-2024 23:00:00,0,8.49757174392936,87.4,105,6
64230400,60,89632,0,10.9605262257267,15-Jan-2014 14:00:00,31-Dec-2024 20:00:00,0,7.54269377382464,103.6,127,6
64230230,60,92984,0,10.9363413804983,24-Jan-2014 10:00:00,31-Dec-2024 20:00:00,0,8.14452473596441,84.6,102.8,6
64230200,60,88258,0,10.8042373674111,13-Mar-2014 16:00:00,31-Dec-2024 20:00:00,0,8.02143864598025,84,84,6
64220050,60,76383,0,9.85270060302402,24-Feb-2015 08:00:00,31-Dec-2024 23:00:00,0,10.3364326375712,96,116.4,6
64215080,60,73718,0,9.85144572897915,24-Feb-2015 19:00:00,31-Dec-2024 23:00:00,0,9.64704595185995,88.1,119.6,6
64182000,60,68840,0,9.81357134871581,10-Mar-2015 15:00:00,31-Dec-2024 23:00:00,0,9.82174528301887,220.5,283.1,6
64105800,60,67794,0,9.85155980843777,24-Feb-2015 18:00:00,31-Dec-2024 23:00:00,0,9.81231003039514,180,315,6
64007000,60,47556,0,5.59708047849488,28-May-2019 15:00:00,31-Dec-2024 22:00:00,0,7.08281250000001,106.4,106.4,6
63905000,60,52692,0,11.0007962746212,01-Jan-2014,31-Dec-2024 23:00:00,0,12.1994372990354,177.75,182.5,6
63250950,60,57490,0,6.92462313850843,28-Jan-2018 19:00:00,31-Dec-2024 23:00:00,0,6.74532110091743,128,128,6
63250900,60,73790,0,9.00212415951959,01-Jan-2016,31-Dec-2024 23:00:00,0,7.50729783037476,261.2,284,6
63250800,60,69393,0,8.66182513444264,04-May-2016 07:00:00,31-Dec-2024 23:00:00,0,8.32668067226892,124,132.8,6
63250700,60,73180,0,9.00212415951959,01-Jan-2016,31-Dec-2024 23:00:00,0,7.29798515376459,275,294,6
63170100,60,84398,0,10.0818862354007,02-Dec-2014 15:00:00,31-Dec-2024 23:00:00,0,7.03672400897532,480,480,6
63001228,15,325451,6.14531834285346e-05,9.42207916658111,31-Jul-2015 15:30:00,31-Dec-2024 23:45:00,0,3.26089324618736,78.85,91.7,8
63001225,15,324098,8.02226487050213e-05,9.42207916658111,31-Jul-2015 15:30:00,31-Dec-2024 23:45:00,0,3.25618393234672,25.75,26.25,8
62885700,30,141155,0,8.33493044575408,26-May-2016,25-Sep-2024 06:30:00,0,3.65330188679245,36.75,36.875,7
62871000,30,143462,0,8.60233269676995,26-May-2016 01:00:00,31-Dec-2024 23:30:00,0,6.02417437252312,93.4,95.6,7
62849500,30,140734,0,8.60227565704064,26-May-2016 01:30:00,31-Dec-2024 23:30:00,0,4.55150724637681,177.1,208.3,7
62776450,30,44321,0,9.80849481280702,12-Mar-2015 12:00:00,31-Dec-2024 23:30:00,0,4.10534602076125,33.7,36.1,7
62741000,15,145339,0,8.38697919875151,12-Aug-2016 17:00:00,31-Dec-2024 23:45:00,0,2.80033333333333,38.75,39.95,8
62560000,15,142074,2.81543421034109e-05,5.98412356174323,07-Jan-2019 08:00:00,31-Dec-2024 23:45:00,0,3.7233918128655,38.75,50.75,8
62473200,30,93932,0,9.83998074338738,01-Mar-2015,31-Dec-2024 23:30:00,0,9.64292813455658,310.3,389.2,7
62472800,30,95252,1.04984672237853e-05,9.84009482284601,28-Feb-2015 23:00:00,31-Dec-2024 23:30:00,0,7.07981682496608,61.8,64.25,7
62346000,15,289759,0,9.62553988103794,18-May-2015 08:00:00,31-Dec-2024 23:45:00,0,3.63935079726651,41.6,41.6,8
61924950,60,81012,3.70315508813509e-05,9.85190204681365,24-Feb-2015 15:00:00,31-Dec-2024 23:00:00,0,10.4410416666667,136.2,159.2,6
61890000,60,83427,0,9.85155980843777,24-Feb-2015 18:00:00,31-Dec-2024 23:00:00,0,10.5312,100.6,112.6,6
61872600,30,26339,0,9.84009482284601,28-Feb-2015 23:00:00,31-Dec-2024 23:30:00,0,4.16891191709845,35.2,45.2,7
61865500,60,40079,0.00164674767334514,8.88850101872957,15-May-2015 06:00:00,03-Apr-2024 17:00:00,0,11.404214559387,112,112,6
61861010,60,35108,0,6.0507744854446,16-Mar-2018 17:00:00,03-Apr-2024 17:00:00,0,8.42767295597485,82.4,117.6,6
61828500,60,72731,0,8.86020931299069,21-Feb-2016 20:00:00,31-Dec-2024 23:00:00,0,6.2295054484493,81.2,115.8,6
61795100,60,75497,2.64911188524047e-05,9.37162752600441,19-Aug-2015 01:00:00,31-Dec-2024 23:00:00,0,9.21362179487179,159.4,162.6,6
61787000,60,77589,1.28884249055923e-05,9.37162752600441,19-Aug-2015 01:00:00,31-Dec-2024 23:00:00,0,9.61816593886463,124.2,140.4,6
61776900,15,159618,0,9.78602115945799,20-Mar-2015 17:00:00,31-Dec-2024 23:30:00,0,4.31053459119497,55.1,78.8,8
61730080,60,73364,8.1783981244207e-05,8.41678245731717,01-Aug-2016 19:00:00,31-Dec-2024 23:00:00,0,11.4685920577617,112,116.4,6
61710000,60,37646,0,9.84038002149257,28-Feb-2015 20:00:00,31-Dec-2024 23:00:00,0,8.26372549019608,132,134.8,6
61696000,60,69070,1.44780657304184e-05,8.41678245731717,01-Aug-2016 19:00:00,31-Dec-2024 23:00:00,0,8.216,88.8,102.8,6
61661000,60,73504,5.44188071397475e-05,9.35679719638322,24-Aug-2015 11:00:00,31-Dec-2024 23:00:00,0,13.6214828897338,180,194.8,6
61566000,60,53828,0,9.63389620138219,15-May-2015 06:00:00,31-Dec-2024 23:00:00,0,10.9888338658147,80,85,6
61410000,60,62765,0,11.0007962746212,01-Jan-2014,31-Dec-2024 23:00:00,0,9.70550847457627,96.2,96.4,6
61305000,15,262822,1.1414569556582e-05,8.9328779281345,26-Jan-2016 07:45:00,31-Dec-2024 23:45:00,0,3.39097135740971,27.05,28.35,8
61271000,15,265416,0,8.33413188954371,01-Sep-2016 00:15:00,31-Dec-2024 23:45:00,0,3.05285547785548,25.8,28.2,8
61268700,15,148759,0,11.0008818342152,01-Jan-2014,31-Dec-2024 23:45:00,0,2.7431154822335,18.4375,18.9375,8
61262100,60,67443,0,8.57056156754303,06-Jun-2016 15:00:00,31-Dec-2024 23:00:00,0,5.69567567567568,57.6,60.8,6
61255300,60,43953,0,7.60750277783482,24-May-2017 09:00:00,31-Dec-2024 23:00:00,0,12.1297405189621,126,126,6
61203000,60,78073,0,9.38805496804634,13-Aug-2015 01:00:00,31-Dec-2024 23:00:00,0,9.36223977027996,118.8,125.2,6
61176000,60,78022,0,9.38805496804634,13-Aug-2015 01:00:00,31-Dec-2024 23:00:00,0,10.6011461318052,102.2,106.6,6
61135000,15,200147,0,6.86230723423479,20-Feb-2018 14:00:00,31-Dec-2024 23:45:00,0,3.45360824742268,28.65,29.65,8
61116000,60,90230,0,11.0003399567867,01-Jan-2014 01:00:00,31-Dec-2024 20:00:00,0,7.08801237432327,138.6,138.6,6
61112000,60,89558,0,10.8593377459268,21-Feb-2014 13:00:00,31-Dec-2024 20:00:00,0,5.38707224334601,97.6,107,6
61106900,60,76875,0.000897560975609756,9.37162752600441,19-Aug-2015 01:00:00,31-Dec-2024 23:00:00,0,8.70876923076923,110.6,115.6,6
61078600,60,77906,1.28359818242497e-05,9.37162752600441,19-Aug-2015 01:00:00,31-Dec-2024 23:00:00,0,11.5009193054137,103.4,147.6,6
61078500,60,54529,1.83388655577766e-05,11.0007962746212,01-Jan-2014,31-Dec-2024 23:00:00,0,7.9347471451876,74.6,78.2,6
61065090,60,69988,5.71526547408127e-05,11.0007962746212,01-Jan-2014,31-Dec-2024 23:00:00,0,12.1826484018265,404,406,6
61061080,60,50227,0,11.0007962746212,01-Jan-2014,31-Dec-2024 23:00:00,0,10.3825503355705,57,66,6
61060000,15,231646,0,6.8623642739641,20-Feb-2018 13:30:00,31-Dec-2024 23:45:00,0,3.21923631123919,21.4,31.15,8
60961050,30,156523,0,9.75544786454661,31-Mar-2015 21:00:00,31-Dec-2024 23:30:00,0,5.22345857418112,79.25,79.25,7
60944000,60,84269,0,9.8516738878964,24-Feb-2015 17:00:00,31-Dec-2024 23:00:00,0,7.27836391437309,121.6,121.6,6
60921600,30,93924,1.06469060091138e-05,9.42108097131814,01-Aug-2015,31-Dec-2024 23:30:00,0,9.49936868686869,178.7,182.1,7
60897000,30,155422,0,9.58843553712031,31-May-2015 21:00:00,31-Dec-2024 23:30:00,0,5.00335698689956,57.375,88.375,7
60886000,30,145073,0,9.58843553712031,31-May-2015 21:00:00,31-Dec-2024 23:30:00,0,4.18577313054499,119.625,119.625,7
