reference_key,source_sheet,source_row,station_code,station_name,latitude_xlsx,longitude_xlsx,lat_key,lon_key,K_r_sampled,a_r_sampled,b_r_sampled,c_r_sampled,latitude_metric,longitude_metric,K,a,b,c,K_r_metric,a_r_metric,b_r_metric,c_r_metric,K_r_abs_diff_sampled_minus_metric,K_r_rel_diff_pct_sampled_minus_metric,a_r_abs_diff_sampled_minus_metric,a_r_rel_diff_pct_sampled_minus_metric,b_r_abs_diff_sampled_minus_metric,b_r_rel_diff_pct_sampled_minus_metric,c_r_abs_diff_sampled_minus_metric,c_r_rel_diff_pct_sampled_minus_metric,max_abs_rel_diff_pct_sampled_vs_metric
standard,Standard,267,-,Alto Tapajós,-7.33333333,-57.5,-7.33333,-57.5,2821.4482421875,0.17123742401599884,25.382783889770508,0.8830859661102295,-7.33333333,-57.5,1562.35,0.2,11.0,0.82,485.58337,0.115953624,1.6512526,0.7321891,2335.8648721875,481.0430126936802,0.055283800015998835,47.67750942911351,23.73153128977051,1437.1835835274694,0.15089686611022946,20.60900197916487,1437.1835835274694
standard,Standard,5,-,Parintins,-2.63333333,-56.73333333,-2.63333,-56.73333,20362.369140625,0.18525338172912598,123.57829284667969,1.1481413841247559,-2.63333333,-56.73333333,5775.73,0.18,30.0,1.02,1388.9017,0.12620884,41.807613,0.88611805,18973.467440625,1366.0770550302445,0.05904454172912599,46.783206096439834,81.77067984667968,195.5880137109949,0.26202333412475587,29.56979988442351,1366.0770550302445
standard,Standard,4,-,Manaus,-3.13333333,-60.01666667,-3.13333,-60.01667,25965.560546875,0.21227268874645233,142.6098175048828,1.1960078477859497,-3.13333333,-60.01666667,1387.98,0.1,12.0,0.78,2155.854,0.17242825,41.39713,0.93332213,23809.706546875,1104.4211039743416,0.039844438746452326,23.10783688081989,101.21268750488281,244.49203967734678,0.26268571778594973,28.145236177561735,1104.4211039743416
standard,Standard,220,2143003,Desterro de Melo,-21.1492,-43.52,-21.1492,-43.52,56916.64453125,0.16810713708400726,168.1245574951172,1.344786286354065,-21.1492,-43.52,3077.737,0.16,34.357,0.908,5893.8965,0.13487826,78.129906,1.068257,51022.74803125,865.6878862947457,0.03322887708400726,24.636199402340498,89.99465149511718,115.18592060653083,0.27652928635406493,25.886026148582683,865.6878862947457
standard,Standard,265,254001,Santarém - Taperinha,-2.41666667,-54.33333333,-2.41667,-54.33333,6817.22705078125,0.1873820424079895,64.77063751220703,1.0090012550354004,-2.41666667,-54.33333333,1712.51,0.19,15.0,0.84,783.6241,0.16352788,17.6913,0.7932738,6033.60295078125,769.9613820939466,0.023854162407989515,14.5872143685771,47.07933751220703,266.1157603579558,0.21572745503540036,27.194577084910705,769.9613820939466
standard,Standard,212,2045004,Santana do Jacaré,-20.905,-45.125,-20.905,-45.125,7593.7041015625,0.1850583851337433,81.27422332763672,1.1086206436157227,-20.905,-45.125,3628.1,0.171,29.525,1.011,901.5707,0.19296879,15.638396,0.83512133,6692.1334015625,742.274943225473,-0.007910404866256715,-4.0993182712379115,65.63582732763672,419.7094595100208,0.27349931361572266,32.7496501155973,742.274943225473
standard,Standard,337,2141044,Campos,-21.75,-41.33333333,-21.75,-41.33333,14433.947265625,0.1866936832666397,98.98664093017578,1.1572471857070923,-21.75,-41.33333333,1467.4,0.17,10.0,0.84,1778.3055,0.191481,38.28962,0.9324549,12655.641765625,711.6685949419265,-0.004787316733360303,-2.500152356296605,60.69702093017578,158.52082347689998,0.2247922857070923,24.107577289485242,711.6685949419265
standard,Standard,336,2141044,Campos,-21.75,-41.33333333,-21.75,-41.33333,14433.947265625,0.1866936832666397,98.98664093017578,1.1572471857070923,-21.75,-41.33333333,1467.4,0.17,10.0,0.84,1778.3055,0.191481,38.28962,0.9324549,12655.641765625,711.6685949419265,-0.004787316733360303,-2.500152356296605,60.69702093017578,158.52082347689998,0.2247922857070923,24.107577289485242,711.6685949419265
standard,Standard,61,1443000,Boca da Caatinga,-14.7864,-43.5514,-14.7864,-43.5514,1275.0787353515625,0.19805149734020233,7.681555271148682,0.831322968006134,-14.7864,-43.5514,1616.744,0.179,20.467,0.877,518.2997,0.18308727,1.016899,0.78206927,756.7790353515625,146.01186058019374,0.014964227340202335,8.173275695356828,6.664656271148681,655.3901883224078,0.049253698006133995,6.297868986225989,655.3901883224078
standard,Standard,6,-,Uapés,-0.13333333,-67.08333333,-0.13333,-67.08333,5544.478515625,0.18337902426719666,56.09709548950195,0.97422194480896,-0.13333333,-67.08333333,2235.25,0.15,19.0,0.85,811.5585,0.1294553,24.599136,0.8024002,4732.920015625,583.1890141776594,0.05392372426719666,41.654319496534065,31.49795948950195,128.0449829193267,0.17182174480895995,21.41347233075963,583.1890141776594
