station_id,reference_key,source_sheet,source_row,station_code,station_name,latitude,longitude,n_bias_values,median_bias_pct,mean_bias_pct,std_bias_pct,max_abs_bias_pct,p95_abs_bias_pct,K,a,b,c,K_r,a_r,b_r,c_r
disaggregation_row282,disaggregation,Disaggregation,282,,,-10.5169,-62.00139999,128,35.90689036543679,39.102688182579676,37.32674019608963,133.27925773278372,107.02883402131516,1223.7,0.1361,12.7,0.7775,4535.5810546875,0.2611050605773926,42.75963592529297,0.9898045063018799
standard_row491,standard,Standard,491,2346068,Recalque ABC,-23.75,-46.5333,128,55.46688117520053,56.32720780986664,32.26648998200928,132.99685629753398,113.00621578321108,1535.589,0.127,17.996,0.843,5244.18359375,0.2223571389913559,40.91737365722656,1.0093915462493896
disaggregation_row120,disaggregation,Disaggregation,120,,,-21.6889,-57.3597,128,20.850936295394234,33.826219825683914,32.84872377497308,130.74791642898256,126.19832141546962,6568.71,0.203,32.86,1.06,3142.78173828125,0.20704299211502075,24.918537139892578,0.8921826481819153
standard_row398,standard,Standard,398,2950061,Morungava,-29.8508,-50.91029999,128,51.42612999017332,59.10679364461872,32.87106991356646,130.61249808700987,115.47355836780609,1138.7,0.1776,18.4,0.8037,2600.45654296875,0.15949200093746185,12.408121109008789,0.8791001439094543
standard_row537,standard,Standard,537,-,Andradina,-20.87055556,-51.35388889,128,0.18899208925785105,13.469989458679168,32.68864310369616,129.95979167224576,83.87500603096633,1844.723,0.126,25.0,0.829,1170.228271484375,0.17986918985843658,5.10427188873291,0.8069769144058228
disaggregation_row68,disaggregation,Disaggregation,68,,,-18.5472,-53.1353,128,-9.11822228697227,4.972448039640465,38.0802792565715,129.85574684115883,123.1338037320436,5701.19,0.173,32.7,1.06,827.3921508789062,0.17902609705924988,4.909572124481201,0.764726459980011
disaggregation_row107,disaggregation,Disaggregation,107,,,-20.1022,-54.4347,128,3.3397551224824893,15.059811589279278,32.248394537850814,129.7763410044306,105.7851275237627,5249.12,0.213,32.51,1.05,1354.756591796875,0.18831965327262878,9.222376823425293,0.8112530708312988
standard_row44,standard,Standard,44,1840019,Córrego da Boa Esperança,-18.7006,-40.4419,128,5.244189867101018,14.723233950941726,33.95084025037388,129.58197833462674,91.7726097814497,4350.786,0.202,40.254,1.003,1253.55859375,0.16168437898159027,3.417752981185913,0.8075334429740906
standard_row4,standard,Standard,4,-,Manaus,-3.13333333,-60.01666667,128,15.719439536109842,19.235704506675425,44.20385814810398,128.62881191815046,90.29497594741248,1387.98,0.1,12.0,0.78,25965.560546875,0.21227268874645233,142.6098175048828,1.1960078477859497
standard_row99,standard,Standard,99,1742008,Carbonita,-17.5794,-42.99499999,128,4.829962097393047,11.924099193450107,28.470144189506545,127.64289180933088,77.17574897422521,1542.323,0.208,16.364,0.878,1152.642333984375,0.14685210585594177,1.6108356714248657,0.8111111521720886
standard_row321,standard,Standard,321,-,Guarapuava,-25.36472222,-51.51361111,128,55.66978036472308,54.5079644196189,40.319145685497105,127.55666186322173,112.27018727580537,1039.68,0.171,10.0,0.799,15828.8291015625,0.20672860741615295,77.00112915039062,1.138044834136963
standard_row143,standard,Standard,143,1941005,Barra do Cuieté - Jusante,-19.06169999,-41.5328,128,27.111886931220816,35.882377932705225,31.1214625745039,126.85381620883717,99.39298142735534,5400.428,0.17,47.595,1.041,1327.017822265625,0.20359835028648376,9.222265243530273,0.8229851722717285
standard_row92,standard,Standard,92,1646003,Santo Antonio do Boqueirão,-16.52969999,-46.7211,128,94.29474710243952,95.07155333814913,14.92140399381047,126.34625712633168,119.35551666879392,1433.047,0.221,16.329,0.963,4179.05859375,0.18199189007282257,22.19153594970703,1.0004816055297852
disaggregation_row219,disaggregation,Disaggregation,219,,,-6.2667,-35.5,128,62.71419088633519,62.00013338206312,31.360430431739992,125.64227795235122,114.95864552309521,551.223,0.203,9.778,0.741,1371.48974609375,0.27311673760414124,14.500917434692383,0.8608518242835999
disaggregation_row221,disaggregation,Disaggregation,221,,,-6.4,-35.6,128,66.8864930136521,64.99012656362211,30.62555336748453,124.94705646486304,114.29634114181893,526.109,0.211,9.778,0.741,1371.48974609375,0.27311673760414124,14.500917434692383,0.8608518242835999
disaggregation_row32,disaggregation,Disaggregation,32,,,-6.77897222,-39.29522222,128,36.195058024530795,36.86648369391802,37.386166733518465,123.95430719173007,97.1384893829855,457.58,0.0719,0.0,0.6573,1642.6619873046875,0.168391615152359,15.016633987426758,0.8714619874954224
