reference_key,return_period_yr,duration_min,n,median_bias_pct,mean_bias_pct,std_bias_pct,q01_bias_pct,q05_bias_pct,q25_bias_pct,q75_bias_pct,q95_bias_pct,q99_bias_pct,min_bias_pct,max_bias_pct
disaggregation,2,360,396,0.3923563904743599,0.9942441600605525,20.667807157007644,-51.06002424679184,-26.772098074479125,-13.005730587809163,11.644454038663493,35.05859929425652,53.09878315848111,-98.14308393417893,65.58280870361376
disaggregation,2,480,396,-2.1243385838037314,-0.8389869104564571,19.67092341047763,-48.60184047067774,-27.763444900672624,-14.28239327214081,10.39759318648764,32.785500624353055,45.721816543226645,-98.53454611738339,57.85648554339495
disaggregation,2,720,396,-4.736262465035683,-3.3785061348605607,19.280612431636737,-44.48641268267739,-29.768834187289393,-16.76027906325332,9.90238154717116,28.173463998821532,40.539858290215534,-98.96083925356989,47.57110332341026
disaggregation,2,1440,396,-11.279030051912574,-7.271718326396922,22.231868086573336,-49.03296567264865,-35.66852612097115,-22.577857047775677,5.975757589650341,30.68545498611341,46.982825514827894,-99.43316458030708,67.72229351748105
disaggregation,2,2880,396,-17.596066903903193,-10.243814942123493,29.169423014705888,-58.46941782595244,-43.14453742017761,-28.98713434951426,1.4007041098603934,49.62763958030342,65.78942951007971,-99.69498978878597,93.91379534510794
disaggregation,2,10080,396,-28.269415422239835,-12.650788859591142,47.83673046352703,-71.43293376280286,-57.99038079532713,-41.772518951913064,-6.222132902465003,98.09538563933225,125.70575129362425,-99.9020101677017,165.83834531707313
disaggregation,5,5,396,12.168409274705377,15.632365586795318,44.96310688265559,-65.1270960183491,-48.51458003229043,-10.513145755953085,39.25437492330485,83.70721304989779,155.6261445663369,-88.1772042415083,315.9588735511338
disaggregation,5,10,396,12.230147061112302,13.764376012810905,36.40323102192157,-58.22838576902483,-44.74968050416535,-8.97324731877788,34.641697227621485,77.04891569685527,102.78931690851381,-89.0023085810755,193.28336312690075
disaggregation,5,15,396,11.737677201274854,13.036057768506542,33.7327432628904,-55.50619119185587,-40.81214928312321,-9.028870459147782,31.874181160009144,68.75008657583248,89.46915140410145,-89.74029289954827,173.91307822571346
disaggregation,5,20,396,10.72608772645579,12.614775001785928,32.51683068718728,-53.65775282296068,-36.93380120343542,-9.496122469848038,32.970943677825474,68.09561374015894,88.41147949345216,-90.3947598768935,159.64656924741035
disaggregation,5,25,396,10.136088485044544,12.302336869603996,31.80717853079388,-52.977812062213886,-35.18431897319062,-9.15728774380764,32.84236840036357,67.21730160948226,87.52416278488757,-90.97500643072689,148.6339553475286
disaggregation,5,30,396,9.442532758546923,12.033839323353472,31.310361524076573,-52.51742529575216,-33.69666903764237,-10.120500804243786,32.63444536477105,66.79614765892858,86.30544811670735,-91.49098257153032,139.83031884708666
disaggregation,5,60,396,7.54382456248214,10.61458865420705,29.4422040404531,-51.973773865015126,-30.443182269507375,-10.628076941155095,30.766986734076802,63.716774386528115,77.7170856018852,-93.66251267000945,109.4229484062918
disaggregation,5,120,396,5.040643944202973,8.085091515974613,26.768101181092742,-53.73458200415787,-29.08498499898832,-11.178604652560058,27.198265682830424,55.851442291851384,74.44704770738808,-95.77530434862898,85.12157690125103
disaggregation,5,180,396,2.6843120967559395,6.018339226600343,24.738121305932637,-55.167513023131384,-26.883204635415467,-11.053347439766316,23.40494614253244,49.74000795505369,66.59575604498659,-96.81025885508853,77.1956198754306
disaggregation,5,240,396,1.7570071972126218,4.339018315441885,23.198550747507824,-52.668534737185766,-25.874096467596132,-11.794233529410235,20.070889708305188,43.70861202397202,58.99748214747917,-97.42710264251292,69.91386967304467
disaggregation,5,360,396,0.7911280258410518,1.7807946607355616,21.173767323225075,-52.109443884033126,-25.14921828595768,-12.306200135516246,15.488501075496517,36.66765023250809,52.07894543351873,-98.13196021501031,61.08251449683371
disaggregation,5,480,396,-1.201646919103255,-0.09092190605255121,20.098505204390925,-53.447643003858666,-26.11376938310553,-13.224863331671317,12.708671379116748,32.90926812518055,44.11348217999751,-98.52576742364228,53.56618129650186
disaggregation,5,720,396,-3.827384456652239,-2.6880924379407185,19.5507634351484,-55.1494113736318,-29.243517820152526,-15.393138873796882,10.757449793761209,28.747077507143093,43.40317680512072,-98.95461423751931,54.27642008265507
