city_label,integrated_absolute_bias
Santo Antonio da Platina (Parana),421.08333333333337
Lagoa Santa (Goias),421.0
Lutecia (Sao Paulo),420.9583333333333
Nova Roma (Goias),420.8333333333333
Paineiras (Minas Gerais),420.79166666666663
Ivinhema (Mato Grosso do Sul),420.6666666666667
Piratininga (Sao Paulo),420.625
Guapirama (Parana),420.5
Varjao (Goias),420.45833333333337
Ouro Verde (Santa Catarina),420.41666666666663
Quatigua (Parana),420.2916666666667
Maravilhas (Minas Gerais),420.0
Itaporanga (Sao Paulo),419.9583333333333
Santa Clara dOeste (Sao Paulo),419.9166666666667
Papagaios (Minas Gerais),419.79166666666663
Salgado Filho (Parana),419.625
Salto (Sao Paulo),419.41666666666663
Dionisio Cerqueira (Santa Catarina),419.25
Americo de Campos (Sao Paulo),419.16666666666663
Carneirinho (Minas Gerais),418.95833333333337
Aparecida do Taboado (Mato Grosso do Sul),418.6666666666667
Itaja (Goias),418.58333333333337
Santo Antonio do Grama (Minas Gerais),418.5
Magda (Sao Paulo),418.375
Barra do Jacare (Parana),418.2916666666667
Indaiatuba (Sao Paulo),418.2916666666667
Alvares Florence (Sao Paulo),418.20833333333337
Jussara (Goias),418.2083333333333
Santa Vitoria (Minas Gerais),418.16666666666663
Capao do Leao (Rio Grande do Sul),417.75
Angelandia (Minas Gerais),417.625
Ipigua (Sao Paulo),417.58333333333337
Santa Fe do Sul (Sao Paulo),417.4583333333333
Taiuva (Sao Paulo),417.29166666666663
Engenheiro Coelho (Sao Paulo),417.25
Rubineia (Sao Paulo),417.0
Porto Feliz (Sao Paulo),416.9583333333333
Sao Joao do Oriente (Minas Gerais),416.9166666666667
Macedonia (Sao Paulo),416.7916666666667
Promissao (Sao Paulo),416.625
Conego Marinho (Minas Gerais),416.5
Espigao Alto do Iguacu (Parana),416.29166666666663
Lencois Paulista (Sao Paulo),416.25
Luminarias (Minas Gerais),416.16666666666663
Taquara (Rio Grande do Sul),415.8333333333333
Itaruma (Goias),415.33333333333337
Pequi (Minas Gerais),415.2916666666667
Tanabi (Sao Paulo),415.04166666666663
Dois Corregos (Sao Paulo),414.95833333333337
Dom Cavati (Minas Gerais),414.9166666666667
Piracanjuba (Goias),414.91666666666663
Queiroz (Sao Paulo),414.875
Ipameri (Goias),414.7083333333333
Lins (Sao Paulo),414.625
Coronel Freitas (Santa Catarina),414.4583333333333
Guaicara (Sao Paulo),414.33333333333337
Couto de Magalhaes de Minas (Minas Gerais),414.2916666666667
Pompeia (Sao Paulo),414.25
Abaete (Minas Gerais),414.16666666666663
Igarape (Minas Gerais),414.125
Campina Verde (Minas Gerais),414.0833333333333
Sao Manoel do Parana (Parana),413.875
Cosmorama (Sao Paulo),413.79166666666663
Agua Limpa (Goias),413.75
Caetanos (Bahia),413.3333333333333
Wall Ferraz (Piaui),413.2916666666667
Guarani dOeste (Sao Paulo),412.70833333333337
Ubarana (Sao Paulo),412.5
Meridiano (Sao Paulo),412.125
Bom Jesus (Santa Catarina),412.0416666666667
Adolfo (Sao Paulo),411.9166666666667
Guapiacu (Sao Paulo),411.91666666666663
Paranaiba (Mato Grosso do Sul),411.8333333333333
Santana do Itarare (Parana),411.79166666666663
Siqueira Campos (Parana),411.625
Santana da Ponte Pensa (Sao Paulo),411.5
Santa Salete (Sao Paulo),411.5
Quintana (Sao Paulo),411.4166666666667
Malacacheta (Minas Gerais),411.375
Bandeirantes (Parana),411.33333333333337
Sao Jose do Rio Preto (Sao Paulo),411.08333333333337
Dolcinopolis (Sao Paulo),411.08333333333337
Itai (Sao Paulo),410.95833333333337
Tres Fronteiras (Sao Paulo),410.875
Botumirim (Minas Gerais),410.8333333333333
Pompeu (Minas Gerais),410.70833333333337
Palmeira dOeste (Sao Paulo),410.6666666666667
Mineiros do Tiete (Sao Paulo),410.5833333333333
Valentim Gentil (Sao Paulo),410.4166666666667
